Codes,Class_Names,Scientific_name,EPPO_code,EPPO_code_period,Comments,IsCrop,IsCropOther,IsWoodland,IsFeedingArea,IsPerennial,IsTempCrop,IsPermCrop,Erdas_Red,Erdas_Green
0,Background,,,,,0,0,0,0,0,0,0,0,0
1,Corn,Zea mays,ZEAMX,ZEAMX,,1,1,0,1,0,1,0,1,0.8275
2,Cotton,Gossypium spp.,1GOSG,1GOSG,,1,1,0,1,0,1,0,1,0.149
3,Rice,Oryza sativa,ORYSA,ORYSA,,1,1,0,1,0,1,0,0,0.6588
4,Sorghum,Sorghum bicolor,SORVU,SORVU,,1,1,0,1,0,1,0,1,0.6196
5,Soybeans,Glycine max,GLXMA,GLXMA,,1,1,0,1,0,1,0,0.149,0.4431
6,Sunflower,Helianthus annuus,HELAN,HELAN,,1,1,0,1,0,1,0,1,1
7, ,,,,,0,0,0,0,0,0,0,0,0
8, ,,,,,0,0,0,0,0,0,0,0,0
9, ,,,,,0,0,0,0,0,0,0,0,0
10,Peanuts,Arachis hypogaea,ARHHY,ARHHY,,1,1,0,1,0,1,0,0.4392,0.6471
11,Tobacco,Nicotiana tabacum,NIOTA,NIOTA,,1,1,0,1,0,1,0,0,0.6863
12,Sweet Corn,Zea mays var. saccharata,ZEAMS,ZEAMS,,1,1,0,1,0,1,0,0.8667,0.6471
13,Pop or Orn Corn,Zea mays var. everta,ZEAME,ZEAME,,1,1,0,1,0,1,0,0.8667,0.6471
14,Mint,Mentha spp.,1MENG,1MENG,,1,1,0,1,0,1,0,0.498,0.8275
15, ,,,,,0,0,0,0,0,0,0,0,0
16, ,,,,,0,0,0,0,0,0,0,0,0
17, ,,,,,0,0,0,0,0,0,0,0,0
18, ,,,,,0,0,0,0,0,0,0,0,0
19, ,,,,,0,0,0,0,0,0,0,0,0
20, ,,,,,0,0,0,0,0,0,0,0,0
21,Barley,Hordeum vulgare,HORVX,HORVX,,1,1,0,1,0,1,0,0.8863,0
22,Durum Wheat,Triticum durum,TRZDU,TRZDU,,1,1,0,1,0,1,0,0.5373,0.3882
23,Spring Wheat,Triticum aestivum,TRZAX,TRZAX,,1,1,0,1,0,1,0,0.8471,0.7098
24,Winter Wheat,Triticum aestivum,TRZAX,TRZAX,,1,1,0,1,0,1,0,0.6471,0.4392
25,Other Small Grains,,,,,0,1,0,1,0,0,0,0.8392,0.6196
26,Dbl Crop WinWht/Soybeans,,"TRZAX,GLXMA",GLXMA,"Left the code for soybeans as they are spring/summer crops. Source: https://cals.cornell.edu/field-crops/soybeans/planting-soybeans#:~:text=Soybeans%20can%20be%20successfully%20planted,April%20and%20early%20May%20plantings.",1,1,0,1,0,1,0,0.4431,0.4431
27,Rye,Secale cereale,SECCE,SECCE,,1,1,0,1,0,1,0,0.6784,0
28,Oats,Avena sativa,AVESA,AVESA,,1,1,0,1,0,1,0,0.6275,0.349
29,Millet,Panicum miliaceum,PANMI,PANMI,,1,1,0,1,0,1,0,0.4431,0
30,Speltz,Triticum spelta,TRZSP,TRZSP,,1,1,0,1,0,1,0,0.8392,0.6196
31,Canola,Brassica napus,BRSNN,BRSNN,,1,1,0,1,0,1,0,0.8196,1
32,Flaxseed,Linum usitatissimum,LIUUT,LIUUT,,1,1,0,1,0,1,0,0.498,0.6
33,Safflower,Carthamus tinctorius,CAUTI,CAUTI,,1,1,0,1,0,1,0,0.8392,0.8392
34,RapeSeed,Brassica napus subsp. napus,BRSNN,BRSNN,,1,1,0,1,0,1,0,0.8196,1
35,Mustard,Brassica juncea,BRSJU,BRSJU,,1,1,0,1,0,1,0,0,0.6863
36,Alfalfa,Medicago sativa,MEDSA,MEDSA,,1,1,0,1,0,1,0,1,0.6471
37,Other Hay/Non Alfalfa,,,,,0,1,0,1,0,0,0,0.6471,0.9529
38,Camelina,Camelina sativa,CMASA,CMASA,,1,1,0,1,0,1,0,0,0.6863
39,Buckwheat,Fagopyrum esculentum,FAGES,FAGES,,1,1,0,1,0,1,0,0.8392,0.6196
40, ,,,,,0,0,0,0,0,0,0,0,0
41,Sugarbeets,Beta vulgaris subsp. vulgaris,BEAVX,BEAVX,,1,1,0,1,0,1,0,0.6588,0
42,Dry Beans,,,,,0,1,0,1,0,0,0,0.6471,0
43,Potatoes,Solanum tuberosum,SOLTU,SOLTU,,1,1,0,1,0,1,0,0.4431,0.149
44,Other Crops,,,,,0,1,0,1,0,0,0,0,0.6863
45,Sugarcane,Saccharum,1SACG,1SACG,,1,1,0,1,0,1,0,0.698,0.498
46,Sweet Potatoes,Ipomoea batatas,IPOBA,IPOBA,,1,1,0,1,0,1,0,0.4431,0.149
47,Misc Vegs & Fruits,,,,,0,1,0,1,0,0,0,1,0.4
48,Watermelons,Citrullus lanatus,CITLA,CITLA,,1,1,0,1,0,1,0,1,0.4
49,Onions,Allium cepa,ALLCE,ALLCE,,1,1,0,1,0,1,0,1,0.8
50,Cucumbers,Cucumis sativus,CUMSA,CUMSA,,1,1,0,1,0,1,0,1,0.4
